,,,,,Road,,,,Tower,,TimeZone,,,,,,,,CCTV,
5-Elvitigala,79.877082-6.909195-80,11:00:00#11:30:00,815,,0,1,0,,0,,0,1,0,1,0,,0.199748744,,2,
5-Elvitigala,79.877082-6.909195-80,11:30:00#12:00:00,779,,0,1,0,,0,,0,1,0,1,1,,0.190703518,,2,
5-Elvitigala,79.877082-6.909195-80,12:00:00#12:30:00,813,,0,1,0,,0,,0,1,1,0,0,,0.199246231,,3,
5-Elvitigala,79.877082-6.909195-80,12:30:00#13:00:00,920,,0,1,0,,0,,0,1,1,0,1,,0.226130653,,2,
5-Elvitigala,79.877082-6.909195-80,13:00:00#13:30:00,890,,0,1,0,,0,,0,1,1,1,0,,0.218592965,,2,
5-Elvitigala,79.877082-6.909195-80,13:30:00#14:00:00,868,,0,1,0,,0,,0,1,1,1,1,,0.213065327,,3,
5-Elvitigala,79.877082-6.909195-80,14:00:00#14:30:00,834,,0,1,0,,0,,1,0,0,0,0,,0.204522613,,2,
5-Elvitigala,79.877082-6.909195-80,14:30:00#15:00:00,710,,0,1,0,,0,,1,0,0,0,1,,0.173366834,,2,
5-Elvitigala,79.877082-6.909195-80,15:00:00#15:30:00,639,,0,1,0,,0,,1,0,0,1,0,,0.155527638,,2,
5-Elvitigala,79.877082-6.909195-80,15:30:00#16:00:00,448,,0,1,0,,0,,1,0,0,1,1,,0.107537688,,2,
3-Ward-Place,79.877032-6.915083-210,06:00:00#06:30:00,0,,0,1,1,,0,,0,0,0,0,0,,-0.005025126,,,
3-Ward-Place,79.877032-6.915083-210,06:30:00#07:00:00,0,,0,1,1,,0,,0,0,0,0,1,,-0.005025126,,,
3-Ward-Place,79.877032-6.915083-210,07:00:00#07:30:00,0,,0,1,1,,0,,0,0,0,1,0,,-0.005025126,,,
3-Ward-Place,79.877032-6.915083-210,07:30:00#08:00:00,0,,0,1,1,,0,,0,0,0,1,1,,-0.005025126,,,
3-Ward-Place,79.877032-6.915083-210,08:00:00#08:30:00,0,,0,1,1,,0,,0,0,1,0,0,,-0.005025126,,,
3-Ward-Place,79.877032-6.915083-210,08:30:00#09:00:00,0,,0,1,1,,0,,0,0,1,0,1,,-0.005025126,,,
3-Ward-Place,79.877032-6.915083-210,09:00:00#09:30:00,0,,0,1,1,,0,,0,0,1,1,0,,-0.005025126,,,
3-Ward-Place,79.877032-6.915083-210,09:30:00#10:00:00,0,,0,1,1,,0,,0,0,1,1,1,,-0.005025126,,,
